Year,Grand Prix,Date,Winner,Team,Laps,Time
1950,British,13 May 1950,Nino Farina,Alfa Romeo,70,2:13:23.600
1950,Monaco,21 May 1950,Juan Manuel Fangio,Alfa Romeo,100,3:13:18.700
1950,Indianapolis,30 May 1950,Johnnie Parsons,Kurtis Kraft Offenhauser,138,2:46:55.970
1950,Switzerland,4 Jun 1950,Nino Farina,Alfa Romeo,42,2:02:53.700
1950,Belgium,18 Jun 1950,Juan Manuel Fangio,Alfa Romeo,35,2:47:26.000
1950,France,2 Jul 1950,Juan Manuel Fangio,Alfa Romeo,64,2:57:52.800
1950,Italy,3 Sep 1950,Nino Farina,Alfa Romeo,80,2:51:17.400
1951,Argentina,28 Oct 1951,Juan Manuel Fangio,Alfa Romeo,70,2:46:54.100
1952,Italy,07 Sep 1952,Alberto Ascari,Ferrari,80,2:50:45.600
1953,Italy,13 Sep 1953,Juan Manuel Fangio,Maserati,80,2:49:45.900
1954,Spain,24 Oct 1954,Mike Hawthorn,Ferrari,80,3:13:52.100
1955,Italy,11 Sep 1955,Juan Manuel Fangio,Mercedes-Benz,50,2:25:04.400
1956,Italy,02 Sep 1956,Stirling Moss,Maserati,50,2:23:41.300
1957,Italy,08 Sep 1957,Stirling Moss,Vanwall,87,2:35:03.900
1958,Morocco,19 Oct 1958,Stirling Moss,Vanwall,53,2:09:15.100
1959,United States,12 Dec 1959,Bruce McLaren,Cooper Climax,42,2:12:35.700
